journee,home,away,scores,home_goal,away_goal,ht_home_goal,ht_away_goal
1. Journée,Girondins Bordeaux,FC Nantes,0:0 (0:0),0,0,0,0
1. Journée,Dijon FCO,Angers SCO,0:1 (0:1),0,1,0,1
1. Journée,Lille OSC,Stade Rennes,1:1 (1:0),1,1,1,0
1. Journée,AS Monaco,Stade Reims,2:2 (1:2),2,2,1,2
1. Journée,FC Lorient,RC Strasbourg,3:1 (0:1),3,1,0,1
1. Journée,Nîmes Olympique,Stade Brest,4:0 (2:0),4,0,2,0
1. Journée,OGC Nice,RC Lens,2:1 (1:1),2,1,1,1
1. Journée,Montpellier HSC,Olympique Lyon,2:1 (1:0),2,1,1,0
1. Journée,Paris Saint-Germain,FC Metz,1:0 (0:0),1,0,0,0
1. Journée,Olympique Marseille,AS Saint-Étienne,0:2 (0:1),0,2,0,1
2. Journée,Olympique Lyon,Dijon FCO,4:1 (3:1),4,1,3,1
2. Journée,Stade Rennes,Montpellier HSC,2:1 (1:0),2,1,1,0
2. Journée,RC Strasbourg,OGC Nice,0:2 (0:1),0,2,0,1
2. Journée,Stade Reims,Lille OSC,0:1 (0:1),0,1,0,1
2. Journée,Angers SCO,Girondins Bordeaux,0:2 (0:2),0,2,0,2
2. Journée,FC Metz,AS Monaco,0:1 (0:1),0,1,0,1
2. Journée,FC Nantes,Nîmes Olympique,2:1 (2:0),2,1,2,0
2. Journée,AS Saint-Étienne,FC Lorient,2:0 (1:0),2,0,1,0
2. Journée,Stade Brest,Olympique Marseille,2:3 (1:2),2,3,1,2
2. Journée,RC Lens,Paris Saint-Germain,1:0 (0:0),1,0,0,0
3. Journée,Girondins Bordeaux,Olympique Lyon,0:0 (0:0),0,0,0,0
3. Journée,Montpellier HSC,OGC Nice,3:1 (1:0),3,1,1,0
3. Journée,AS Saint-Étienne,RC Strasbourg,2:0 (0:0),2,0,0,0
3. Journée,Lille OSC,FC Metz,1:0 (0:0),1,0,0,0
3. Journée,Angers SCO,Stade Reims,1:0 (0:0),1,0,0,0
3. Journée,Dijon FCO,Stade Brest,0:2 (0:1),0,2,0,1
3. Journée,FC Lorient,RC Lens,2:3 (1:2),2,3,1,2
3. Journée,Nîmes Olympique,Stade Rennes,2:4 (1:2),2,4,1,2
3. Journée,AS Monaco,FC Nantes,2:1 (1:0),2,1,1,0
3. Journée,Paris Saint-Germain,Olympique Marseille,0:1 (0:1),0,1,0,1
4. Journée,Olympique Lyon,Nîmes Olympique,0:0 (0:0),0,0,0,0
4. Journée,RC Lens,Girondins Bordeaux,2:1 (0:0),2,1,0,0
4. Journée,Stade Rennes,AS Monaco,2:1 (0:1),2,1,0,1
4. Journée,OGC Nice,Paris Saint-Germain,0:3 (0:2),0,3,0,2
4. Journée,Stade Brest,FC Lorient,3:2 (2:1),3,2,2,1
4. Journée,FC Metz,Stade Reims,2:1 (1:1),2,1,1,1
4. Journée,Montpellier HSC,Angers SCO,4:1 (2:1),4,1,2,1
4. Journée,RC Strasbourg,Dijon FCO,1:0 (0:0),1,0,0,0
4. Journée,FC Nantes,AS Saint-Étienne,2:2 (0:1),2,2,0,1
4. Journée,Olympique Marseille,Lille OSC,1:1 (0:0),1,1,0,0
5. Journée,Lille OSC,FC Nantes,2:0 (1:0),2,0,1,0
5. Journée,AS Saint-Étienne,Stade Rennes,0:3 (0:1),0,3,0,1
5. Journée,Olympique Marseille,FC Metz,1:1 (0:0),1,1,0,0
5. Journée,Girondins Bordeaux,OGC Nice,0:0 (0:0),0,0,0,0
5. Journée,Angers SCO,Stade Brest,3:2 (1:2),3,2,1,2
5. Journée,Dijon FCO,Montpellier HSC,2:2 (1:0),2,2,1,0
5. Journée,AS Monaco,RC Strasbourg,3:2 (2:0),3,2,2,0
5. Journée,Nîmes Olympique,RC Lens,1:1 (0:1),1,1,0,1
5. Journée,FC Lorient,Olympique Lyon,1:1 (0:0),1,1,0,0
5. Journée,Stade Reims,Paris Saint-Germain,0:2 (0:1),0,2,0,1
6. Journée,Paris Saint-Germain,Angers SCO,6:1 (2:0),6,1,2,0
6. Journée,RC Lens,AS Saint-Étienne,2:0 (1:0),2,0,1,0
6. Journée,OGC Nice,FC Nantes,2:1 (1:1),2,1,1,1
6. Journée,Montpellier HSC,Nîmes Olympique,0:1 (0:0),0,1,0,0
6. Journée,Girondins Bordeaux,Dijon FCO,3:0 (2:0),3,0,2,0
6. Journée,Stade Brest,AS Monaco,1:0 (1:0),1,0,1,0
6. Journée,FC Metz,FC Lorient,3:1 (1:1),3,1,1,1
6. Journée,RC Strasbourg,Lille OSC,0:3 (0:1),0,3,0,1
6. Journée,Stade Rennes,Stade Reims,2:2 (2:1),2,2,2,1
6. Journée,Olympique Lyon,Olympique Marseille,1:1 (1:1),1,1,1,1
7. Journée,Dijon FCO,Stade Rennes,1:1 (0:1),1,1,0,1
7. Journée,Nîmes Olympique,Paris Saint-Germain,0:4 (0:1),0,4,0,1
7. Journée,Stade Reims,FC Lorient,1:3 (1:0),1,3,1,0
7. Journée,Olympique Marseille,Girondins Bordeaux,3:1 (1:0),3,1,1,0
7. Journée,RC Strasbourg,Olympique Lyon,2:3 (1:3),2,3,1,3
7. Journée,Angers SCO,FC Metz,1:1 (1:1),1,1,1,1
7. Journée,AS Monaco,Montpellier HSC,1:1 (0:0),1,1,0,0
7. Journée,FC Nantes,Stade Brest,3:1 (2:0),3,1,2,0
7. Journée,AS Saint-Étienne,OGC Nice,1:3 (0:2),1,3,0,2
7. Journée,Lille OSC,RC Lens,4:0 (1:0),4,0,1,0
8. Journée,Stade Rennes,Angers SCO,1:2 (1:1),1,2,1,1
8. Journée,FC Lorient,Olympique Marseille,0:1 (0:0),0,1,0,0
8. Journée,Paris Saint-Germain,Dijon FCO,4:0 (2:0),4,0,2,0
8. Journée,Girondins Bordeaux,Nîmes Olympique,2:0 (0:0),2,0,0,0
8. Journée,Stade Brest,RC Strasbourg,0:3 (0:2),0,3,0,2
8. Journée,FC Metz,AS Saint-Étienne,2:0 (1:0),2,0,1,0
8. Journée,Montpellier HSC,Stade Reims,0:4 (0:3),0,4,0,3
8. Journée,OGC Nice,Lille OSC,1:1 (0:0),1,1,0,0
8. Journée,Olympique Lyon,AS Monaco,4:1 (4:0),4,1,4,0
8. Journée,RC Lens,FC Nantes,1:1 (1:0),1,1,1,0
9. Journée,Stade Rennes,Stade Brest,2:1 (0:0),2,1,0,0
9. Journée,FC Nantes,Paris Saint-Germain,0:3 (0:0),0,3,0,0
9. Journée,AS Saint-Étienne,Montpellier HSC,0:1 (0:1),0,1,0,1
9. Journée,Angers SCO,OGC Nice,0:3 (0:2),0,3,0,2
9. Journée,Dijon FCO,FC Lorient,0:0 (0:0),0,0,0,0
9. Journée,Nîmes Olympique,FC Metz,0:1 (0:1),0,1,0,1
9. Journée,Stade Reims,RC Strasbourg,2:1 (2:1),2,1,2,1
9. Journée,AS Monaco,Girondins Bordeaux,4:0 (3:0),4,0,3,0
9. Journée,Lille OSC,Olympique Lyon,1:1 (1:1),1,1,1,1
9. Journée,Olympique Marseille,RC Lens,0:1 (0:0),0,1,0,0
10. Journée,RC Strasbourg,Olympique Marseille,0:1 (0:0),0,1,0,0
10. Journée,Girondins Bordeaux,Montpellier HSC,0:2 (0:0),0,2,0,0
10. Journée,Paris Saint-Germain,Stade Rennes,3:0 (2:0),3,0,2,0
10. Journée,Stade Brest,Lille OSC,3:2 (3:1),3,2,3,1
10. Journée,RC Lens,Stade Reims,4:4 (1:0),4,4,1,0
10. Journée,FC Lorient,FC Nantes,0:2 (0:0),0,2,0,0
10. Journée,FC Metz,Dijon FCO,1:1 (1:1),1,1,1,1
10. Journée,Nîmes Olympique,Angers SCO,1:5 (0:2),1,5,0,2
10. Journée,OGC Nice,AS Monaco,1:2 (0:1),1,2,0,1
10. Journée,Olympique Lyon,AS Saint-Étienne,2:1 (0:1),2,1,0,1
11. Journée,Stade Rennes,Girondins Bordeaux,0:1 (0:1),0,1,0,1
11. Journée,AS Monaco,Paris Saint-Germain,3:2 (0:2),3,2,0,2
11. Journée,Stade Brest,AS Saint-Étienne,4:1 (4:1),4,1,4,1
11. Journée,FC Nantes,FC Metz,1:1 (1:1),1,1,1,1
11. Journée,Dijon FCO,RC Lens,0:1 (0:1),0,1,0,1
11. Journée,Montpellier HSC,RC Strasbourg,4:3 (3:3),4,3,3,3
11. Journée,Stade Reims,Nîmes Olympique,0:1 (0:0),0,1,0,0
11. Journée,Angers SCO,Olympique Lyon,0:1 (0:0),0,1,0,0
11. Journée,Lille OSC,FC Lorient,4:0 (1:0),4,0,1,0
11. Journée,Olympique Marseille,OGC Nice,3:2 (2:0),3,2,2,0
12. Journée,RC Strasbourg,Stade Rennes,1:1 (1:0),1,1,1,0
12. Journée,Olympique Marseille,FC Nantes,3:1 (2:0),3,1,2,0
12. Journée,Paris Saint-Germain,Girondins Bordeaux,2:2 (2:1),2,2,2,1
12. Journée,Olympique Lyon,Stade Reims,3:0 (1:0),3,0,1,0
12. Journée,RC Lens,Angers SCO,1:3 (1:1),1,3,1,1
12. Journée,FC Lorient,Montpellier HSC,0:1 (0:0),0,1,0,0
12. Journée,FC Metz,Stade Brest,0:2 (0:1),0,2,0,1
12. Journée,AS Monaco,Nîmes Olympique,3:0 (1:0),3,0,1,0
12. Journée,OGC Nice,Dijon FCO,1:3 (0:2),1,3,0,2
12. Journée,AS Saint-Étienne,Lille OSC,1:1 (1:0),1,1,1,0
13. Journée,Nîmes Olympique,Olympique Marseille,0:2 (0:0),0,2,0,0
13. Journée,Stade Rennes,RC Lens,0:2 (0:1),0,2,0,1
13. Journée,Montpellier HSC,Paris Saint-Germain,1:3 (1:1),1,3,1,1
13. Journée,Lille OSC,AS Monaco,2:1 (0:0),2,1,0,0
13. Journée,Angers SCO,FC Lorient,2:0 (1:0),2,0,1,0
13. Journée,Girondins Bordeaux,Stade Brest,1:0 (0:0),1,0,0,0
13. Journée,Dijon FCO,AS Saint-Étienne,0:0 (0:0),0,0,0,0
13. Journée,FC Nantes,RC Strasbourg,0:4 (0:2),0,4,0,2
13. Journée,Stade Reims,OGC Nice,0:0 (0:0),0,0,0,0
